,SMILES,Scaffold,Decorations,Likelihoods,Gat_pred_pIC50,hba_lipinski,hbd_lipinski,slog_p,tpsa,n_stereo,n_rotatable
68,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(=O)*)cccc1,5.307001113891602,5.391275405883789,4,1,4.906700000000004,79.37,1,3
224,C(c1ccccc1)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(c1ccccc1)=O,5.309606552124023,5.391275405883789,4,1,4.906700000000003,79.37,1,3
460,C(=O)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(=O)(C)*,5.329745292663574,5.679969310760498,4,1,3.612800000000002,79.37,1,2
175,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(=O)*)ccc1,5.366591453552246,5.391275405883789,4,1,4.906700000000004,79.37,1,3
227,c1ccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccc(C(=O)*)cc1,5.405447483062744,5.391275405883789,4,1,4.906700000000003,79.37,1,3
275,C1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1(C*)CC1,5.420127868652344,5.694301128387451,3,1,4.476300000000004,62.300000000000004,1,4
13,C1CC1N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CC1*,5.420154094696045,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
1,C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*CC,5.422957420349121,5.771744728088379,3,1,4.086200000000003,62.300000000000004,1,3
21,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(*)=O)cccc1,5.4390411376953125,5.391275405883789,4,1,4.906700000000004,79.37,1,3
44,c1cccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(C(=O)*)c1,5.439621448516846,5.391275405883789,4,1,4.906700000000004,79.37,1,3
85,c1(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C(=O)*)ccccc1,5.466450214385986,5.391275405883789,4,1,4.906700000000003,79.37,1,3
19,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(*)=O)ccc1,5.489808082580566,5.391275405883789,4,1,4.906700000000004,79.37,1,3
90,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(*)(C)=O,5.504977703094482,5.679969310760498,4,1,3.612800000000002,79.37,1,2
346,C1C(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)C1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1C(*)C1,5.5070600509643555,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
325,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(C)(*)=O,5.509716510772705,5.679969310760498,4,1,3.612800000000002,79.37,1,2
110,c1cccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(*)c1,5.57175874710083,5.353422164916992,3,1,5.270900000000004,62.300000000000004,1,3
22,C(=O)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(=O)(*)C,5.576287269592285,5.679969310760498,4,1,3.612800000000002,79.37,1,2
135,C1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C1CC1,5.584342002868652,4.197469711303711,3,1,4.2287000000000035,62.300000000000004,1,3
206,C(=O)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(*)(=O)C,5.589317798614502,5.679969310760498,4,1,3.612800000000002,79.37,1,2
142,c1(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C(*)=O)ccccc1,5.635055065155029,5.391275405883789,4,1,4.906700000000003,79.37,1,3
216,CCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,CC*,5.635631084442139,5.771744728088379,3,1,4.086200000000003,62.300000000000004,1,3
150,c1ccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccc(C(*)=O)cc1,5.6382246017456055,5.391275405883789,4,1,4.906700000000003,79.37,1,3
104,C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(=O)*,5.686689376831055,5.630767822265625,4,1,3.2227000000000015,79.37,1,3
177,C(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(c1ccccc1)*,5.723174571990967,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
48,c1ccccc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccccc1C(=O)*,5.731802940368652,5.391275405883789,4,1,4.906700000000003,79.37,1,3
222,C1C(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)C1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1C(C*)C1,5.732242584228516,5.694301128387451,3,1,4.476300000000004,62.300000000000004,1,4
199,C(C)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(C)(=O)*,5.737832069396973,5.679969310760498,4,1,3.612800000000002,79.37,1,2
326,c1cccc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cccc(C(*)=O)c1,5.754158020019531,5.391275405883789,4,1,4.906700000000004,79.37,1,3
176,C(C)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(C)C,5.801726341247559,4.315918922424316,3,1,4.474700000000004,62.300000000000004,1,3
663,C(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(*)c1ccccc1,5.814846992492676,5.55600643157959,3,1,5.266500000000004,62.300000000000004,1,4
196,C1CC(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CCC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CC(*)CCC1,5.828376770019531,5.2769646644592285,3,1,5.3990000000000045,62.300000000000004,1,3
39,c1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(*)ccccc1,5.828916549682617,5.353422164916992,3,1,5.270900000000005,62.300000000000004,1,3
226,c1ccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccc(*)cc1,5.842098712921143,5.353422164916992,3,1,5.270900000000004,62.300000000000004,1,3
41,C1C(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CCCC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1C(*)CCCC1,5.848031520843506,5.2769646644592285,3,1,5.3990000000000045,62.300000000000004,1,3
77,c1cc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(*)ccc1,5.853750228881836,5.353422164916992,3,1,5.270900000000005,62.300000000000004,1,3
20,c1c(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cccc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(*)cccc1,5.861753463745117,5.353422164916992,3,1,5.270900000000005,62.300000000000004,1,3
137,c1ccccc1N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccccc1*,5.935308456420898,5.353422164916992,3,1,5.270900000000004,62.300000000000004,1,3
180,O=C(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,O=C(*)c1ccccc1,5.993908405303955,5.391275405883789,4,1,4.906700000000003,79.37,1,3
404,C1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CCCCC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1(*)CCCCC1,6.016383647918701,5.2769646644592285,3,1,5.3990000000000045,62.300000000000004,1,3
258,c1ccccc1C(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1ccccc1C(*)=O,6.026230812072754,5.391275405883789,4,1,4.906700000000003,79.37,1,3
251,c1cc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1C,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(*)ccc1C,6.040322303771973,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
93,c1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(Cl)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C*)ccc(Cl)cc1,6.107414722442627,5.555468559265137,3,1,5.919900000000005,62.300000000000004,1,4
247,C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(*)C,6.175850868225098,5.771744728088379,3,1,4.086200000000003,62.300000000000004,1,3
229,c1c(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(Cl)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C*)ccc(Cl)c1,6.186032772064209,5.555468559265137,3,1,5.919900000000005,62.300000000000004,1,4
232,C1CC1CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CC1C*,6.195901870727539,5.694301128387451,3,1,4.476300000000004,62.300000000000004,1,4
324,O=C(c1ccccc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,O=C(c1ccccc1)*,6.200748920440674,5.391275405883789,4,1,4.906700000000003,79.37,1,3
437,c1c(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(F)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C*)ccc(F)c1,6.213403224945068,5.537884712219238,3,1,5.405600000000004,62.300000000000004,1,4
111,c1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(C)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(*)ccc(C)cc1,6.220565319061279,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
14,CC(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,CC(C)*,6.2315826416015625,4.315918922424316,3,1,4.474700000000004,62.300000000000004,1,3
368,C(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C(C)*,6.256166458129883,5.771744728088379,3,1,4.086200000000003,62.300000000000004,1,3
107,c1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(F)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C*)ccc(F)cc1,6.259467601776123,5.537884712219238,3,1,5.405600000000004,62.300000000000004,1,4
200,C1CCC(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CCC(*)CC1,6.278265476226807,5.2769646644592285,3,1,5.3990000000000045,62.300000000000004,1,3
69,c1c(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(C)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(*)ccc(C)c1,6.280726432800293,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
124,C1C(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CCC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1C(*)CCC1,6.293837070465088,5.086140155792236,3,1,5.008900000000004,62.300000000000004,1,3
891,c1cc(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1F,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C*)ccc1F,6.411965847015381,5.537884712219238,3,1,5.405600000000003,62.300000000000004,1,4
545,c1(C)ccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C)ccc(*)cc1,6.414292335510254,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
654,C(c1ccc(Cl)cc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*Cc1ccc(Cl)cc1,6.498903274536133,5.555468559265137,3,1,5.919900000000004,62.300000000000004,1,4
55,c1c(C)ccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C)ccc(*)c1,6.508048057556152,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
50,c1cc(Cl)ccc1N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(Cl)ccc1*,6.514715194702148,5.352847099304199,3,1,5.924300000000003,62.300000000000004,1,3
140,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1F,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(=O)*)ccc1F,6.5148115158081055,5.437753677368164,4,1,5.045800000000003,79.37,1,3
450,c1c(Cl)ccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(Cl)ccc(*)c1,6.520370006561279,5.352847099304199,3,1,5.924300000000003,62.300000000000004,1,3
131,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1C,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(=O)*)ccc1C,6.537754058837891,5.385654926300049,4,1,5.215120000000004,79.37,1,3
1179,C1CCCC(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)C1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1CCCC(*)C1,6.5467610359191895,5.2769646644592285,3,1,5.3990000000000045,62.300000000000004,1,3
794,c1(Cl)ccc(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(Cl)ccc(*)cc1,6.551145553588867,5.352847099304199,3,1,5.924300000000004,62.300000000000004,1,3
562,c1cc(C)ccc1N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C)ccc1*,6.560627460479736,5.346298694610596,3,1,5.5793200000000045,62.300000000000004,1,3
233,c1(CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(C)cc1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1(C*)ccc(C)cc1,6.572212219238281,5.346989631652832,3,1,5.574920000000005,62.300000000000004,1,4
478,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(F)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(=O)*)ccc(F)c1,6.582112789154053,5.437753677368164,4,1,5.045800000000003,79.37,1,3
173,CC(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,CC(*)C,6.589292526245117,4.315918922424316,3,1,4.474700000000004,62.300000000000004,1,3
770,c1c(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc(Cl)c1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1c(C(=O)*)ccc(Cl)c1,6.601068019866943,5.372488021850586,4,1,5.560100000000004,79.37,1,3
162,C(=O)(c1ccc(Cl)cc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*C(=O)c1ccc(Cl)cc1,6.626181602478027,5.372488021850586,4,1,5.560100000000004,79.37,1,3
675,C(c1ccc(F)cc1)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,*Cc1ccc(F)cc1,6.6376166343688965,5.537884712219238,3,1,5.405600000000004,62.300000000000004,1,4
253,C1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CCCC1,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,C1(*)CCCC1,6.654223918914795,5.086140155792236,3,1,5.008900000000004,62.300000000000004,1,3
595,c1cc(C(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)ccc1F,[*]N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,c1cc(C(*)=O)ccc1F,6.6996564865112305,5.437753677368164,4,1,5.045800000000003,79.37,1,3
